n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1820,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,49.61,-37.57000000000001,87.18,-0.4475962115529943,0.8666666666666667,0.0,0,0.0,0.0,0.13333333333333333,0.6666666666666666,2,,2,0.9878048780487805,False,,False,False,0.0,0.0,0.0
1791,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,636.24,-212.87000000000006,849.1100000000001,0.04898642904642031,0.4940577249575552,0.0,0,0.0,0.0,0.5059422750424448,1.0,5,,10,1.0,False,,False,False,0.0,0.0,0.0
1928,5,GMG Deployment Failure,gmg_deployment_failure,,24.29,-19.099999999999998,43.39,-0.15916744456772966,0.0,0.0,0,0.0,0.0,1.0,0.6666666666666666,6,,11,0.0,False,,False,False,0.6,0.6,0.09628571428571431
1881,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1536.9400000000005,-431.8100000000001,1968.7500000000007,0.01853721638270139,0.9935794542536116,0.2482721956406167,467,0.0,0.0,0.006420545746388443,0.3333333333333333,1,14,1,0.9994620763851533,True,100,True,False,0.0,0.0,0.0
1814,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,139.89,-43.66,183.54999999999998,-0.15689998172333403,0.26857142857142857,0.0,0,0.0,0.0,0.7314285714285714,1.0,12,,20,1.0,False,,False,False,0.0,0.0,0.0
1901,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,679.69,-429.3000000000001,1108.9900000000002,-0.016534072664246988,0.9957627118644068,0.0,0,0.0,0.0,0.00423728813559322,0.3333333333333333,5,,1,1.0,False,,False,False,0.0,0.0,0.0
1753,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,820.0100000000001,-230.85000000000002,1050.8600000000001,-0.38492898567639894,0.9621136590229312,0.13918996006845408,244,0.0,0.0,0.03788634097706879,1.0,2,13,2,1.0,True,100,True,False,0.0,0.0,0.0
1775,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,78.24,-56.7,134.94,-0.38762056847686904,1.0,0.0,0,0.0005633802816901409,0.0,0.0,0.0,1,,1,1.0,False,,False,False,0.0,0.0,0.0
1876,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1533.2000000000003,-428.10000000000014,1961.3000000000004,-0.011445917235931524,0.9994635193133047,0.2484008528784648,466,0.0,0.0,0.000536480686695279,0.25,2,13,1,1.0,True,100,True,False,0.0,0.0,0.0
1734,5,GMG Deployment Failure,gmg_deployment_failure,,16.979999999999997,-28.900000000000002,45.879999999999995,-0.2575774696300697,0.0,0.0,0,0.0,0.0,0.0,0.0,3,,3,0.0,False,,False,False,0.0,0.45,0.0
